votenumber,voteid,votedate,majorityreq,result,votedesc,S289,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S254,S376,S221,S357,S377,S331,S293,S153,S387,S388,S399,S359,S361,S344,S395,S236,S345,S393,S362,S389,S363,S311,S378,S057,S346,S405,S338,S369,S174,S400,S306,S322,S347,S288,S364,S229,S348,S379,S380,S349,S259,S323,S260,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S326,S390,S327,S366,S316,S318,S247,S391,S406
1,116-2-1,2020-01-06 17:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1039,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1.0,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,
2,116-2-2,2020-01-07 12:16:00,1/2,Nomination Confirmed,On the Nomination PN1039,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1.0,1,0,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,
3,116-2-3,2020-01-08 11:01:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN455,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1.0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,
,116-2-4,2020-01-08 11:33:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN897,3,0,1,0,1,0,1,3,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,3,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,3,0,1,0,1,
5,116-2-5,2020-01-08 11:56:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN966,3,1,1,1,1,0,1,3,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1.0,1,0,1,1,0,0,1,3,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,3,1,1,0,1,
6,116-2-6,2020-01-08 17:00:00,1/2,Nomination Confirmed,On the Nomination PN455,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1.0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,
7,116-2-7,2020-01-08 17:37:00,1/2,Nomination Confirmed,On the Nomination PN897,3,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,3,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
8,116-2-8,2020-01-08 17:53:00,1/2,Nomination Confirmed,On the Nomination PN966,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1.0,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
9,116-2-9,2020-01-09 11:04:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1166,3,0,1,0,1,0,1,3,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,3,1,0,0,1,3,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,3,0,1,0,1,
10,116-2-10,2020-01-09 13:38:00,1/2,Nomination Confirmed,On the Nomination PN1166,3,0,1,0,1,0,1,3,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,3,1,0,0,1,3,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,3,0,1,0,1,
11,116-2-11,2020-01-13 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1165,1,1,1,3,1,1,1,3,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,0,3,1,0,1,1,1,1,1,1,3,1,1,1,3,1,3,1,1,1,1,1,3,1,1.0,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,0,1,3,1,1,1,1,0,1,1,1,1,3,0,0,3,3,1,1,1,1,
12,116-2-12,2020-01-14 11:31:00,1/2,Nomination Confirmed,On the Nomination PN1165,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,3,3,1,1,3,1,3,1,1,1,1,1,3,1,1.0,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3,1,1,1,1,
13,116-2-13,2020-01-16 11:00:00,3/5,Motion Agreed to,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: H.R. 5430),1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,3,0,1,1,0,1,1,0,1,0,1,1,1,1,1.0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,
14,116-2-14,2020-01-16 11:34:00,1/2,Bill Passed,On Passage of the Bill H.R. 5430,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,
15,116-2-15,2020-01-21 16:33:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1284 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
16,116-2-16,2020-01-21 18:25:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1285 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
17,116-2-17,2020-01-21 19:24:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1286 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
18,116-2-18,2020-01-21 21:21:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1287 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
19,116-2-19,2020-01-21 22:22:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1288 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
20,116-2-20,2020-01-21 23:12:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1289 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
21,116-2-21,2020-01-21 23:55:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1290 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
22,116-2-22,2020-01-22 00:56:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1291 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
23,116-2-23,2020-01-22 01:13:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1292 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
24,116-2-24,2020-01-22 01:21:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1293 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
25,116-2-25,2020-01-22 01:35:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1294 to S.Res. 483 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
26,116-2-26,2020-01-22 01:41:00,1/2,Resolution Agreed to,On the Resolution S.Res. 483,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
27,116-2-27,2020-01-31 17:35:00,1/2,Motion Rejected,On the Motion (Shall It Be In Order To Consider And Debate Any Motion To Subpoena Witnesses Or Documents),0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0.0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,
28,116-2-28,2020-01-31 19:17:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1295 to S.Res. 488 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
29,116-2-29,2020-01-31 19:26:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1296 to S.Res. 488 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
30,116-2-30,2020-01-31 19:33:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1297 to S.Res. 488 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
31,116-2-31,2020-01-31 19:42:00,1/2,Motion to Table Agreed to,On the Motion to Table S.Amdt. 1298 to S.Res. 488 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
32,116-2-32,2020-01-31 19:49:00,1/2,Resolution Agreed to,On the Resolution S.Res. 488,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,
33,116-2-33,2020-02-05 16:09:00,2/3,Not Guilty,Guilty or Not Guilty H.Res. 755,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0.0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,
34,116-2-34,2020-02-05 16:24:00,2/3,Not Guilty,Guilty or Not Guilty H.Res. 755,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0.0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,
35,116-2-35,2020-02-10 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1325,1,0,1,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,3,1,1,1,0,0,1,1,0,1,1,0,3,1,0,0,1,0,0,3,1,1,1,0,0,3,0,3,1,0,1,1,0,3,1,1.0,0,0,1,1,0,0,3,1,0,1,0,1,1,1,0,1,1,3,1,3,0,3,1,0,1,0,0,0,1,0,1,1,3,0,0,0,3,0,1,0,1,
36,116-2-36,2020-02-11 14:15:00,1/2,Nomination Confirmed,On the Nomination PN1325,1,0,1,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,3,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,3,0,1,0,1,
37,116-2-37,2020-02-11 14:14:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1326,1,0,1,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,3,1,0,1,1,0,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,0,0,0,1,0,1,3,1,3,0,1,3,0,1,0,1,
38,116-2-38,2020-02-11 14:59:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN1327,1,0,1,3,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,0,1,1,0,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,3,0,1,3,1,1,0,1,
39,116-2-39,2020-02-11 15:23:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN894,1,1,1,3,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,0,1,1,1,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,3,0,1,3,1,1,0,1,
40,116-2-40,2020-02-11 15:41:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN229,1,0,1,3,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,3,1,0,1,1,0,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1.0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,3,1,0,1,1,1,1,1,1,0,1,1,1,1,3,1,3,1,1,3,1,1,0,1,
41,116-2-41,2020-02-12 10:36:00,1/2,Nomination Confirmed,On the Nomination PN1326,1,0,1,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,3,0,0,1,0,3,1,0,1,1,1,0,1,1.0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,3,0,1,0,1,
42,116-2-42,2020-02-12 11:09:00,1/2,Nomination Confirmed,On the Nomination PN1327,1,0,1,3,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,3,1,1,1,1,3,1,1,1,1,1,0,1,1.0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,3,1,1,0,1,
43,116-2-43,2020-02-12 11:31:00,1/2,Nomination Confirmed,On the Nomination PN894,1,1,1,3,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,0,1,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3,1,1,0,1,
44,116-2-44,2020-02-12 11:51:00,1/2,Nomination Confirmed,On the Nomination PN229,1,0,1,3,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,1,1.0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,3,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,3,1,1,0,1,
45,116-2-45,2020-02-12 14:00:00,1/2,Motion to Proceed Agreed to,On the Motion to Proceed S.J.Res. 68,1,1,0,3,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,3,0,1,1,0,1,1,0,0.0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,3,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,3,1,0,1,1,
46,116-2-46,2020-02-13 10:39:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 1301 to S.J.Res. 68 (No short title on file),1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,3,1,1.0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,3,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,
